track_id,track_name,album_id,album_name,release_date,artists,is_travis_main,track_number,duration_ms,explicit,duration_seconds,popularity
69cLn7zwq2oIfnahAOIwV1,JB2 RADIO,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,JACKBOYS,False,1,31507,True,31.51,53
5wNIHa6wvCCKP6fWgo3UAh,CHAMPAIN & VACAY,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, Don Toliver",True,2,184789,True,184.79,72
6Gp3pYkydEOkl8EHHJxa9s,2000 EXCURSION,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, Sheck Wes, Don Toliver",True,3,222986,True,222.99,67
5P03xImM2uFukzoty7NDw7,KICK OUT,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,Travis Scott,True,4,170498,True,170.5,74
1rQEgtQNsj63xIUzEmKbML,DUMBO,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,Travis Scott,True,5,238249,True,238.25,74
2D8i2yY8z3kB5gRaUJ5weK,MM3,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,SoFaygo,False,6,174532,True,174.53,64
56jNpLhqZaI5IfJwwMdkRQ,VELOUR,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Don Toliver, Sheck Wes",False,7,144841,True,144.84,61
7ydu79RLStYQTOi1OM6Dvg,CONTEST,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, SoFaygo",True,8,272410,True,272.41,63
3nr3oHUp1yTHnjgarY8KX0,ILMB,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Sheck Wes, Travis Scott",True,9,184630,True,184.63,61
26N5kAVhlqFOWAkuMQ5Kwe,WHERE WAS YOU,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, Playboi Carti, Future",True,10,272941,True,272.94,70
22f5gVlJXlTRSCezQDISFn,NO COMMENTS,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,Don Toliver,False,11,129603,True,129.6,65
3LjZ6PqqXfwkcnLOkgLGKI,BEEP BEEP,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, SahBabii",True,12,234654,True,234.65,62
5820PtzfB116EIALe50F6t,PBT,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, Tyla, Vybz Kartel",True,13,250982,True,250.98,63
4lUAlhQOVzhitQKjxrHVny,SHYNE,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, GloRilla",True,14,193183,True,193.18,67
22itRNJ0N4sB8RSeofp7pW,OUTSIDE,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, YoungBoy Never Broke Again",True,15,183320,True,183.32,62
7HFdogJVrkXSm0qBf1JlOB,CANT STOP,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Don Toliver, Future, Wallie the Sensei",False,16,132489,True,132.49,61
4vqwVaEqLNWo3UXhQi5IFH,FLORIDA FLOW,32lGAqeVkdJxEj2iv2Q01B,JACKBOYS 2,2025-07-13,"Travis Scott, Kodak Black",True,17,328574,True,328.57,62
0hL9gOw6XBWsygEUcVjxEc,HYAENA,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,1,222085,True,222.09,68
1PH2MDbcBAU094DlgTIND1,THANK GOD,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,2,184888,True,184.89,70
3KCNiDi9Pza6ZD8FggNoaw,MODERN JAM (feat. Teezo Touchdown),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Teezo Touchdown",True,3,255412,True,255.41,67
4kjI1gwQZRKNDkw1nI475M,MY EYES,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,4,251249,True,251.25,81
04WxWo7XeVyx22xEsrWRUb,GOD'S COUNTRY,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,5,127991,True,127.99,63
7LSpFCvRZZot2AlmkUzy9k,SIRENS,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,6,204447,True,204.45,66
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Drake",True,7,246133,True,246.13,74
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Playboi Carti",True,8,191700,True,191.7,85
0OEe83mMZ5kaNw5uZQ7ilG,DELRESTO (ECHOES) (feat. Beyoncé),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Beyoncé",True,9,274137,False,274.14,60
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,Travis Scott,True,10,211582,True,211.58,81
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Rob49, 21 Savage",True,11,223173,True,223.17,73
4GL9GMX9t7Qkprvf1YighZ,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, The Weeknd, Swae Lee",True,12,258842,True,258.84,67
2Q0aElTZQtEUsoiaQfizu6,PARASAIL (feat. Yung Lean & Dave Chappelle),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Yung Lean, Dave Chappelle",True,13,154964,False,154.96,59
0bkV1iQHSxBaksUqgEkcbc,SKITZO (feat. Young Thug),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Young Thug",True,14,366592,True,366.59,67
7EiUtdeoWcKqLi5ELZCjYf,LOST FOREVER (feat. Westside Gunn),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Westside Gunn",True,15,163071,True,163.07,62
0a4SMs889NwP8oWI7Vemle,LOOOVE (feat. Kid Cudi),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Kid Cudi",True,16,226715,True,226.72,63
4o82J5zr4DFEs9yj5szCVX,K-POP (feat. Bad Bunny & The Weeknd),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, Bad Bunny, The Weeknd",True,17,185220,True,185.22,61
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, SZA, Future",True,18,353754,True,353.75,77
76gcXhY3Zv6wW0BTe9nHJo,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,"Travis Scott, James Blake, 21 Savage",True,19,314836,True,314.84,76
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"Travis Scott, ROSALÍA, Lil Baby",True,1,244873,True,244.87,61
62zKJrpbLxz6InR3tGyr7o,JACKBOYS,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,JACKBOYS,False,2,46836,True,46.84,51
6uJONCdr2rC65BNmCnTBWK,GANG GANG,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"JACKBOYS, Sheck Wes",False,3,244760,True,244.76,65
7LGWmZaoS7jZJ5tEi9EcDi,HAD ENOUGH (feat. Quavo & Offset),1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"Don Toliver, Quavo, Offset",False,4,157133,True,157.13,61
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"JACKBOYS, Travis Scott, Young Thug",True,5,157712,True,157.71,76
4AO1XhrgJczQ9bNVxdfKQe,WHAT TO DO? (feat. Don Toliver),1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"JACKBOYS, Travis Scott, Don Toliver",True,6,250141,True,250.14,69
40mjsnRjCpycdUw3xhS20g,GATTI,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,"JACKBOYS, Pop Smoke, Travis Scott",True,7,181144,True,181.14,70
7wBJfHzpfI3032CSD7CE2m,STARGAZING,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,1,270714,True,270.71,75
7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,2,180182,True,180.18,65
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,3,312820,True,312.82,83
4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,4,185610,True,185.61,65
1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,5,338438,True,338.44,67
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,6,218283,True,218.28,71
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,7,145588,True,145.59,77
20MuVazoNMv6xjKPnRFOxG,WAKE UP,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,8,231963,True,231.96,66
11kDth1aKUEUMq9r1pqyds,5% TINT,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,9,196138,True,196.14,74
6BJbOXDlgVAXSaq6wYFYT2,NC-17,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,10,156885,True,156.88,64
4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,11,142969,True,142.97,78
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,12,150043,False,150.04,76
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,13,198408,True,198.41,77
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Travis Scott,True,14,176720,True,176.72,69
